date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:25:09	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	text/javascript	etag:%2203e5ef7c77d113abf6178fce61ec6344%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	/home/george/websites/shdh/assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	(from https://www.transitionsfvs.org/)
23:25:09	20921/20921	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2019%20Oct%202022%2022:25:08%20GMT	http://use.typekit.net/ik/b806kKlCwB2UBFFg32-lAhaFTAgIhH2mTCx-s_Gar7tfe7t2fFHN4UJLFRbh52jhWDmyFQbtwA9twQyKwRiqjDwuZA9aZc9kFU7nMPG0Za48ZAoadhNqOWF8dcmRjPXhZD8DO1FUiABkZWF3jAF8OcFzdPU1Scm8d1izdhblShm0ZAFyOQZ15Ww0SaBujW48Sagyjh90jhNlOeUzjhBC-eNDifUXScB0Sh8X-AN0ShZhSkozScSCiaiaOcikZAm0ihNzZfuDZAo8jhIlFcSoSkoDSWmyScmDSeBRZPoRdhXCiaiaO1skjAoD-WsTdhoDZ1ZDOcNkZkJwSY4zpe8ljPu0daZyJ6yljW4oZeBCZPJ4ShNc-AIlSY4zH6qJtKGbMg62JMJ7fbKzMsMMeMb6MKGHfO2IMsMMeM96MKG4fJCgIMMjgkMfH6GJclwgIMIjgfMfH6GJGlwgIMIjgkMfH6GJa_vgIMJjMkMfH6GJt_vgIMJjgfMfH6GJtdvgIMJjgPMfH6GJodvgIMJjgKMfH6GJh_vgIMJjgkMfH6GJanvgIMJj2fMfH6GJtOvgIMJj2PMfH6GJEOvgIMJjIfMfH6GJaOvgIMJjIPMfqMYhDznmgb.js	/home/george/websites/shdh/use.typekit.net/ik/b806kKlCwB2UBFFg32-lAhaFTAgIhH2mTCx-s_Gar7tfe7t2fFHN4UJLFRbh52jhWDmyFQbtwA9twQyKwRiqjDwuZA9aZc9kFU7nMPG0Za48ZAoadhNqOWF8dcmRjPXhZD8DO1FUiABkZWF3jAF8OcFzdPU1Scm8d1izdhblShm0ZAFyOQZ15Ww0SaBujW	(from https://www.transitionsfvs.org/)
23:25:09	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	text/javascript	etag:%22f4b230dad791cfb9f8ea64c9781aadfb%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	/home/george/websites/shdh/assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	(from https://www.transitionsfvs.org/)
23:25:10	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	text/javascript	etag:%223c0cc0a12a4e00257cea8d2b4c05859d%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-7f44813b1a3679299cc2a-min.en-US.js	/home/george/websites/shdh/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-7f44813b1a3679299cc2a-min.en-US.js	(from https://www.transitionsfvs.org/)
23:25:10	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	text/javascript	etag:%225c13c40151c71b4c8992acfa110f6acb%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-98bddc81dc37f44faa7b2-min.en-US.js	/home/george/websites/shdh/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-98bddc81dc37f44faa7b2-min.en-US.js	(from https://www.transitionsfvs.org/)
23:25:10	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	text/javascript	etag:%226831fbfbcaefb323e1bca77209107e61%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-83b0e6eb9a2c7557ad4c0-min.en-US.js	/home/george/websites/shdh/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-83b0e6eb9a2c7557ad4c0-min.en-US.js	(from https://www.transitionsfvs.org/)
23:25:11	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	text/javascript	etag:%2294e8627cf882adae5fb2ebfa8162abbc%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-374f13aa8d70c6f34d066-min.en-US.js	/home/george/websites/shdh/assets.squarespace.com/universal/scripts-compressed/common-vendors-374f13aa8d70c6f34d066-min.en-US.js	(from https://www.transitionsfvs.org/)
23:25:11	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	text/javascript	etag:%229efe89a13d42fcd96fbf320485561190%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-a30753685e88d3c1847ad-min.en-US.js	/home/george/websites/shdh/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-a30753685e88d3c1847ad-min.en-US.js	(from https://www.transitionsfvs.org/)
23:25:11	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	text/javascript	etag:%229a7e1cdfec8abac5e6151bcd855dd0d8%22	http://assets.squarespace.com/universal/scripts-compressed/common-24cad2b6a504737161e5a-min.en-US.js	/home/george/websites/shdh/assets.squarespace.com/universal/scripts-compressed/common-24cad2b6a504737161e5a-min.en-US.js	(from https://www.transitionsfvs.org/)
23:25:12	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	text/javascript	etag:%22d9e1be989a5dcd45589ea4743b248831%22	http://assets.squarespace.com/universal/scripts-compressed/performance-7532c45b5785b33eab5ea-min.en-US.js	/home/george/websites/shdh/assets.squarespace.com/universal/scripts-compressed/performance-7532c45b5785b33eab5ea-min.en-US.js	(from https://www.transitionsfvs.org/)
23:25:12	447/447	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Wed,%2019%20Oct%202022%2022:25:12%20GMT	http://images.squarespace-cdn.com/content/v1/5a5481e818b27dc35ee7fe27/1516652735964-5I2DL6WWRAC66CXAFF7L/imageedit_1_8798918370.png?format=1500w	/home/george/websites/shdh/images.squarespace-cdn.com/content/v1/5a5481e818b27dc35ee7fe27/1516652735964-5I2DL6WWRAC66CXAFF7L/imageedit_1_879891837026f7.png	(from https://www.transitionsfvs.org/)
23:25:14	447/447	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Wed,%2019%20Oct%202022%2022:25:13%20GMT	https://images.squarespace-cdn.com/content/v1/5a5481e818b27dc35ee7fe27/1665152247661-P9VSLURRK2I32HT80QTO/2022+Hampton+Vigil+(3).png	/home/george/websites/shdh/images.squarespace-cdn.com/content/v1/5a5481e818b27dc35ee7fe27/1665152247661-P9VSLURRK2I32HT80QTO/2022+Hampton+Vigil+(3).png	(from https://www.transitionsfvs.org/)
23:25:14	447/447	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Wed,%2019%20Oct%202022%2022:25:13%20GMT	https://images.squarespace-cdn.com/content/v1/5a5481e818b27dc35ee7fe27/1516650005641-SWYECQ976INFTXT5XSHA/Woman_staring_out_window.jpg	/home/george/websites/shdh/images.squarespace-cdn.com/content/v1/5a5481e818b27dc35ee7fe27/1516650005641-SWYECQ976INFTXT5XSHA/Woman_staring_out_window.jpg	(from https://www.transitionsfvs.org/)
23:25:14	447/447	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Wed,%2019%20Oct%202022%2022:25:14%20GMT	https://images.squarespace-cdn.com/content/v1/5a5481e818b27dc35ee7fe27/1658439763203-P7VRIJALSOFOU4FPH26V/Fast+%26+Funky+2022+5k+Run+Flyer+(1).png	/home/george/websites/shdh/images.squarespace-cdn.com/content/v1/5a5481e818b27dc35ee7fe27/1658439763203-P7VRIJALSOFOU4FPH26V/Fast+&+Funky+2022+5k+Run+Flyer+(1).png	(from https://www.transitionsfvs.org/)
23:25:14	446/446	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Wed,%2019%20Oct%202022%2022:25:14%20GMT	https://images.squarespace-cdn.com/content/v1/5a5481e818b27dc35ee7fe27/1665152280338-36UGCSBSN8EUE4S0N14D/DV+Month+Donation+Drive+Items.png	/home/george/websites/shdh/images.squarespace-cdn.com/content/v1/5a5481e818b27dc35ee7fe27/1665152280338-36UGCSBSN8EUE4S0N14D/DV+Month+Donation+Drive+Items.png	(from https://www.transitionsfvs.org/)
